outer_fold,model,candidate,parameters,inner_fold,validation_ap,iterations,nonzero_features,violations
2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",2,0.8,906,16,
2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",3,0.7075757575757575,960,18,
2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",4,0.7087301587301587,1041,14,
2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",5,0.7166666666666666,830,15,
2,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",1,0.49090909090909085,124,21,
2,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",2,0.7753968253968253,97,19,
2,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",3,0.6433333333333333,109,18,
2,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",4,0.7611111111111111,116,19,
2,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",5,0.8444444444444443,95,16,
2,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",1,0.6909090909090909,128,12,
2,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",2,0.6944444444444444,132,9,
2,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",3,0.7433333333333334,130,9,
