repeat,seed,outer_fold,model,n_train,n_test,test_positives,prevalence,pr_auc_ap,best_inner_ap,candidate,parameters,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
9,8042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.48316498316498313,0.7984920634920634,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",9,21,2.0,0.008286215788554593,10.0,1.0,
9,8042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.48131313131313125,0.7898571428571428,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
9,8042,2,L2,57,14,6,0.42857142857142855,0.48316498316498313,0.7949206349206348,4,"{""l2"": 10.0}",10,21,,,10.0,,
9,8042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.5714285714285714,0.7105714285714286,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",11,21,2.0,0.03596248531186273,1.0,1.0,
9,8042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.575925925925926,0.7071746031746032,4,"{""l2"": 10.0}",9,19,0.0,0.0,10.0,,0.0
9,8042,3,L2,57,14,6,0.42857142857142855,0.5666666666666667,0.7041746031746031,4,"{""l2"": 10.0}",10,21,,,10.0,,
9,8042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.9150793650793649,0.6656738816738816,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",10,21,3.0,0.04494334126410674,1.0,0.0,
9,8042,4,Monotonic + L2,57,14,6,0.42857142857142855,1.0,0.6867215007215007,4,"{""l2"": 10.0}",9,20,0.0,0.0,10.0,,0.0
9,8042,4,L2,57,14,6,0.42857142857142855,0.9150793650793649,0.6656738816738816,3,"{""l2"": 1.0}",10,21,,,1.0,,
9,8042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.787037037037037,0.7207215007215007,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",14,21,3.0,0.001845696474821207,10.0,10.0,
9,8042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.8092592592592592,0.7267215007215005,4,"{""l2"": 10.0}",9,18,0.0,0.0,10.0,,0.0
9,8042,5,L2,57,14,6,0.42857142857142855,0.7924242424242424,0.7037849927849928,3,"{""l2"": 1.0}",11,21,,,1.0,,
10,9042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.7586167800453514,0.6768564213564213,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",10,21,2.0,0.007810628273992805,10.0,1.0,
10,9042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.7586167800453514,0.6867135642135642,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
10,9042,1,L2,56,15,7,0.4666666666666667,0.7586167800453514,0.6668564213564213,4,"{""l2"": 10.0}",10,21,,,10.0,,
