repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
1,1,2,Soft Monotonic + L2,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",0.5523809523809524,12,21,3.0,0.00643460419355899,10.0,10.0,
1,1,3,Soft Monotonic + L2,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",0.7611111111111111,11,21,1.0,0.005337098367644522,10.0,10.0,
1,1,4,Soft Monotonic + L2,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",0.7544444444444445,12,21,3.0,0.002689300886275421,10.0,10.0,
1,1,5,Soft Monotonic + L2,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",0.7470238095238095,12,21,3.0,0.005644574561340551,10.0,10.0,
1,1,1,Monotonic + L2,0,"{""l2"": 0.001}",0.8766666666666667,28,14,0.0,0.0,0.001,,0.0
1,1,2,Monotonic + L2,0,"{""l2"": 0.001}",0.35487012987012984,38,12,0.0,0.0,0.001,,0.0
1,1,3,Monotonic + L2,0,"{""l2"": 0.001}",0.6311111111111112,38,16,0.0,0.0,0.001,,0.0
1,1,4,Monotonic + L2,0,"{""l2"": 0.001}",0.8142857142857143,34,14,0.0,0.0,0.001,,0.0
1,1,5,Monotonic + L2,0,"{""l2"": 0.001}",0.8875,28,15,0.0,0.0,0.001,,0.0
1,1,1,Monotonic + L2,1,"{""l2"": 0.01}",0.8766666666666667,24,14,0.0,0.0,0.01,,0.0
1,1,2,Monotonic + L2,1,"{""l2"": 0.01}",0.3875757575757576,26,14,0.0,0.0,0.01,,0.0
1,1,3,Monotonic + L2,1,"{""l2"": 0.01}",0.6311111111111112,26,16,0.0,0.0,0.01,,0.0
1,1,4,Monotonic + L2,1,"{""l2"": 0.01}",0.8333333333333333,25,14,0.0,0.0,0.01,,0.0
1,1,5,Monotonic + L2,1,"{""l2"": 0.01}",0.8875,23,15,0.0,0.0,0.01,,0.0
1,1,1,Monotonic + L2,2,"{""l2"": 0.1}",0.7595238095238095,14,15,0.0,0.0,0.1,,0.0
1,1,2,Monotonic + L2,2,"{""l2"": 0.1}",0.5432900432900433,15,15,0.0,0.0,0.1,,0.0
1,1,3,Monotonic + L2,2,"{""l2"": 0.1}",0.5968253968253969,14,17,0.0,0.0,0.1,,0.0
1,1,4,Monotonic + L2,2,"{""l2"": 0.1}",0.8999999999999999,15,17,0.0,0.0,0.1,,0.0
